Type,Vendor,Model,Released Month,Price,Video Quality,UPC,Serial Number,Vendor Security Page,FCC ID,Amazon ID,Vendor Product Page,User Manual,Security Claims on Box?,Security Claims in Manual?,Device ID,Mobile Application,Mobile Application ID,Mobile Application Version,Mobile Application Release Date,Mobile Application APK,Mobile Application Tuya Based?,Mobile Application Senisitive Data Protected?,Prevents MITMMobile Application ,Mobile Application Root Detection Prompt,Mobile Application Password Input Masked?,Mobile Application Password Policy,Mobile Application Two-step Verification?,Mobile Application Two-step Verification Required?,Mobile Application All HTTP Traffic Encrypted?,Default Device Password,USB Port Type,USB Power Delivery?,USB Mass Storage?,USB Device Listing?,USB Android Debug?,SD Card Type,SD Card Format,SD Card Obfuscated Recordings?,OS UART,OS UART Baud,Other UART,Other UART Baud,Bootloader,Bootloader Version,Bootloader Access?,OS User Login Automatic?,OS User Login Prompt?,Boot Output Leaks Secrets?,Wi-Fi?,Wi-Fi MAC Address,Wi-Fi 2.4Ghz Radio?,Wi-Fi 5Ghz Radio?,Wi-Fi WPA 3 Supported?,Wi-Fi WPS Supported?,Wi-Fi QR Code Scan Pairing?,Wi-Fi Temporary Network Pairing?,Wi-Fi Passphrase for Pairing?,Bluetooth?,Bluetooth Version,Bluetooth Manual Pairing?,Bluetooth Six Digit PIN?,Ethernet?,Ethernet MAC Address,Zigbee?,System on Chip,Processor,Processor Architecture,Flash Memory,Flash Package,Wi-Fi Chipset,MMU Available?,Secure Boot Available?,Secure Boot Used?,Hardware Cryptography?,Hardware RNG?,TPM in Use?,Exterior Tamper Evident?,Interior Tamper Evident?,Silk Screened Debug Ports?,Debug Headers Present?,Operating System,Operating System Version,Filesystem Used,Encrypted Filesystem?,Firmware Update Feature?,Firmware Update User Prompt?,Firmware Update Forced?,Firmware Update Request by User?,Firmware Manual Upload?,Firmware Encrypted at Rest?,Firmware Hash Verified?,Firmware Signature Verified?,Firmware Encrypted in Transit?,Firmware Download URL,Firmware Download SSL Labs Score,Firmware Download Authentication?,Factory Reset Feature Documented?,External Data Deleted After Factory Reset?,Factory Reset All Sensitive Data Removed?,IMA in Use?,Watchdog in Use?,cgroups Used?,seccomp-bpf Used?,Root for Major Processes,Mandatory Access Controls Used?,DAC Appropriate?,Malware Detection?,Accounts With Passwords?,Password Hashing,NTP Used?,Secure NTP in Use?,Version,Build Date,Signed Modules?,KASLR Used?,Containers Used?,Container Runtime,Container Networking Mode,Container Reduced Capabilities?,Container Namespaces Used?,Host-based Firewall Used?,Packet Forwarding?,Sample Binary for Hardening Checks,Binary RELRO?,Binary Stack Canaries?,Binary NX?,Binary PIE?,Binary Symbols Gone?,Binary Fortify?,System ASLR Setting,Streaming Service?,Streaming Encrypted?,Streaming Port,Streaming Authentication?,Streaming LED Notification?,Telnet Service?,FTP Service?,SSH Service?,Web Server Port,Web Server Encrypted?,Web Server Authentication?,Web Server Banner,Web Server Session Timeouts?,Web Server SSL Scan Score,Web Server Brute Force Throttled?,MQTT Used?,MQTT Port
Security Camera,Ecobee,EBSCV01,Apr,$99.99,1080p,627988030005,711656843203,https://hackerone.com/ecobee,WR974100118120,B087D6DRCC,https://www.ecobee.com/en-us/cameras/smart-camera-with-voice-control/,https://m.media-amazon.com/images/I/918quE8iHVL.pdf,No,No,231f3873-9e24-5960-9c19-f2e996956660,Ecobee,com.ecobee.athenamobile,8.15+141020,08/22/2021,https://apkpure.com/store/apps/details?id=com.ecobee.athenamobile,No,No,No,No,Yes,8+ characters,Yes,Yes,Yes,No,DC Barrel,Yes,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,N/A,U-Boot,Unknown,N/A,N/A,N/A,N/A,Yes,44:61:32:13:41:1C,Yes,Yes,No,No,No,No,N/A,Yes,5,No,No,No,N/A,No,MT8183,ARM Cortex-A73,64-bit ARM,KLM4G1FETE,eMMC,MT7658CSN,Yes,Yes,Unknown,Yes,Yes,Unknown,No,No,No,No,Yocto Linux,13.0.0,EXT4,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,https://fw-upgrade.pl-prod.ecobee.com/fw/theia-4.7.12.32.bin,A,Yes,Yes,N/A,Unknown,No,Yes,No,No,Yes,No,No,No,No,N/A,Yes,No,4.4.146,Unknown,No,No,No,N/A,N/A,N/A,N/A,No,No,selene,Partial,No,Yes,No,No,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,33107,No,Yes,None,Unknown,N/A,Unknown,No,N/A
Security Camera,Reolink,Lumus,Mar,$49.99,1080p,None,None,No,2A7V-1909A,B08628J862,https://reolink.com/us/product/reolink-lumus/,https://fccid.io/2AL7V-1909A/User-Manual/User-Munaul-4670555.pdf,No,No,95270001RWPYKSXE,Reolink,com.mcu.reolink,4.27.1.0,08/14/2021,https://apkpure.com/store/apps/details?id=com.mcu.reolink,No,No,No,No,Yes,8+ characters,No,N/A,Yes,No,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2015.01,No,Yes,N/A,No,Yes,40:AA:56:53:AD:81,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Star SSC323,ARM Cortex-A7,32-bit ARM,25Q127CSIG,SOIC,MT7601UN,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Linux,N/A,SquashFS,No,Yes,No,No,No,Yes,No,No,No,Yes,https://home-cdn.reolink.us/wp-content%2Fuploads%2F2020%2F12%2F200544421608443082.2946.zip?download_name=firmware_Reolink_Lumus_687_20102800.zip,B,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,No,N/A,4.9.84,09/06/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,dvr,Partial,No,Yes,No,Yes,No,1,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Security Camera,HeimVision,Protect D1,Jul,$55.99,1080p,None,None,No,2AWRR-PRD,B08DKX6NPH,https://www.heimvision.com/products/ptz-outdoor-security-camera,https://fccid.io/2AWRR-PRD/User-Manual/User-Manual-5283390.pdf,No,No,AJ0806010200008759003g,HeimLink,com.vantop.heimlink,4.1073.0.8880,06/11/2021,https://apkpure.com/store/apps/details?id=com.vantop.heimlink,No,No,Yes,No,Yes,"6-26 U,L,N",No,N/A,Unknown,No,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2012.10,Yes,No,Yes,No,Yes,68:88:C9:44:70:6B,Yes,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,Yes,3C:97:0E:22:E1:20,No,GK7205,ARM 1176ZJFS,32-bit ARM,25Q64JVSIQ,SOIC,RTL8188FTV,Yes,No,N/A,Yes,No,No,No,No,Yes,No,Linux,N/A,SquashFS,No,Yes,Yes,No,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,B,Unknown,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,No,N/A,3.4.43,09/15/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,sensordetect,No,No,Yes,No,No,No,2,RTSP,No,554/TCP,No,No,No,No,No,80,No,Yes,Ginatex-HTTPServer,No,N/A,No,No,N/A
Security Camera,Aqara,CH-H01,Jul,$69.99,1080p,192784000403,450/A112092400029,No,2AKIT-G2H,B08F2DBP3Y,https://www.aqara.com/en/g2h_camera_hub.html,https://cdn.cnbj2.fds.api.mi-img.com/cdn/website/aqara/manuals_en/downloads/Aqara_Camera-Hub-G2H_Manual.pdf,Yes,Yes,None,Aqara Home,com.lumiunited.aqarahome.play,2.3.13,08/03/2021,https://apkpure.com/store/apps/details?id=com.lumiunited.aqarahome.play,No,No,No,No,Yes,"8-16 N,L,S",No,N/A,No,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2015.01,No,No,Yes,Yes,Yes,54:EF:44:CC:B4:6A,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,Yes,MSC316DC,ARM Cortex-A7,32-bit ARM,MX25L25645G,SOIC,RTL8188EUS,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Linux,N/A,JFFS2,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,http://cdn.awsusor0.fds.api.mi-img.com/lumiaiot/ota/firmware/AIOT_lumi.camera.gwagl02_V2.0.9.0005.0509_OTA_20200912_ac816f.20200913115347.bin,N/A,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,descrypt,Yes,No,3.18.30,09/12/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,camera,No,Yes,No,No,Yes,Yes,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,47838,No,Yes,None,N/A,N/A,N/A,Yes,1883
Security Camera,Mascarry,A4,Jul,$50.99,1080p,None,180020A02152,No,2AUAU-A4,B08CVPYCPR,No,https://fccid.io/2AUAU-A4/User-Manual/User-Manual-4989154.pdf,Yes,No,None,Adorcam,com.xm.adorcam,1.4.25,08/12/2021,https://apkpure.com/store/apps/details?id=com.xm.adorcam,No,No,No,No,Yes,8-20 characters,No,N/A,No,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,No,N/A,WLAN,115200,U-Boot,2013.07,N/A,N/A,N/A,N/A,Yes,FC:CD:2F:30:9A:BF,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Ingenic T21,MIPS,32-bit MIPS,XT25F128B,SOIC,XR871,Yes,No,N/A,Yes,Yes,No,Yes,No,Yes,No,Linux,N/A,JFFS2,No,Yes,Yes,No,Yes,No,Yes,Unknown,Unknown,No,http://xmitech-device.oss-accelerate.aliyuncs.com/DEBUG/OTA/A3-B_18_T21_SP1405_2.6.18-20210316.bin?Expires=1633900492&OSSAccessKeyId=LTAI4FuPWNRsjPfbNGtq5P9t&Signature=3rjMejPQS04dnzYMqjCUJTOtW3s%3D,N/A,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,None,Yes,No,3.10.14,07/15/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,sample-xmbakipc,No,No,No,No,Yes,No,Unknown,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1883
Security Camera,Anbes,BF-A10,Jun,$49.98,1080p,None,062592855,No,2AR5E-BF-A10,B08BJLSY4T,No,https://fccid.io/2AR5E-BF-A10/User-Manual/15-BF-A10-UserMan-US-r1-4872015.pdf,No,No,ppsle9beda455d5244b6,CloudEdge,com.cloudedge.smarteye,3.0.5,07/16/2021,https://apkfab.com/cloudedge/com.cloudedge.smarteye,No,No,No,No,No,6-20 characters,No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,Yes,Yes,115200,No,N/A,U-Boot,2016.11-g52cd25b-dirty,Password,No,No,No,Yes,FC:6B:F0:57:C0:6C,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH64AHIG,SOIC,Hi1131,Yes,Yes,Unknown,Yes,Yes,No,Yes,No,No,No,LiteOS,1.0.0.5,JFFS2,No,Yes,No Update Found,No Update Found,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,80,No,Yes,None,No,N/A,No,Yes,1883
Security Camera,TP-Link,EC70,Sep,$49.99,1080p,840030701924,220C6H0002366,https://www.tp-link.com/us/press/security-advisory/,TE7KC115,B08GHX9G5L,https://www.kasasmart.com/us/products/security-cameras/kasa-spot-pan-tilt-ec70,https://static.tp-link.com/2020/202009/20200929/7106508528_KC&EC%20Series%20Indoor%20Camera_QIG_V1.pdf,Yes,No,None,Kasa Smart,com.tplink.kasa_android,2.33.1.998,08/05/2021,https://apkpure.com/store/apps/details?id=com.tplink.kasa_android,No,Yes,No,No,Yes,"8-32 L,N,S",No,N/A,Yes,No,Micro B,Yes,No,No,No,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2016.11,Yes,Yes,N/A,No,Yes,28:EE:52:97:72:FA,Yes,No,No,No,No,Yes,No,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,QH128AHIG,SOIC,RTL8188FTV,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Linux,N/A,SquashFS,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,http://download.tplinkcloud.com/firmware/EC70-up-ver2-3-6-P120210202-rel60257-signed_1617270971778.bin,N/A,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,None,Yes,No,4.9.37,07/31/2020,No,No,No,N/A,N/A,N/A,N/A,No,No,iot-client,Partial,No,Yes,No,Yes,No,2,No,N/A,N/A,N/A,Yes,No,No,No,10443,Yes,Yes,"Streamd,",No,Local,No,No,N/A
Security Camera,Vacos,Vacos Cam,May,$99.99,1080p,None,None,No,2AKL2K44IPC,B0888DPKFT,https://vacos.com/products/vacos-cam/,https://cdn.vacos.com/wp-content/uploads/manual/Vacos-Cam-User-Manuals.pdf,No,No,7a31f01c7f80d1302d5f31349b094d21,Vacos,com.anke.video,1.0.3.6,04/17/2021,https://apkpure.com/store/apps/details?id=com.anke.video,No,No,No,No,Yes,6-20 characters,Yes,Yes,No,No,Micro B,Yes,No,No,No,No,N/A,N/A,Yes,115200,No,N/A,U-Boot,2016.11,Yes,Yes,N/A,No,Yes,AC:64:CF:D7:98:7A,Yes,No,No,No,Yes,No,N/A,No,N/A,N/A,N/A,No,N/A,No,Hi3518E v300,ARM Cortex-A7,32-bit ARM,25Q128JVSQ,SOIC,3131A-S,Yes,Yes,Unknown,Yes,Yes,No,No,No,Yes,No,LiteOS,3.2.2,JFFS2,No,Yes,No,No,Yes,No,Unknown,Yes,Unknown,Unknown,Not Found,Unknown,Unknown,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A
Security Camera,Jennov,A90WT20-1-FAS-32,Apr,$65.50,1080p,None,None,No,No,B087BG2VQX,No,https://jennov.cn/wp-content/uploads/2021/05/T-Series-Manual.pdf,No,No,SSAA-244060-ABAEA,CamHi,com.hichip,7.0.0,08/03/2021,https://apkpure.com/store/apps/details?id=com.hichip,No,No,No,No,Yes,N/A,N/A,N/A,Unknown,Yes,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2016.11,Password,No,Yes,No,Yes,7C:A7:B0:B8:08:E1,Yes,No,No,No,No,Yes,Yes,No,N/A,N/A,N/A,Yes,00:15:CD:D7:6F:92,No,Hi3516 EV200,ARM Cortex-A7,32-bit ARM,QH128AHIG,SOIC,MT7601U,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Linux,N/A,JFFS2,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,md5crypt,Yes,No,4.9.37,05/21/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,ipc_server,Partial,Yes,Yes,No,Yes,No,1,RTSP,No,554/TCP,No,No,No,No,No,80,No,Yes,None,No,N/A,No,No,N/A
Security Camera,Anran,AR-W620,Oct,$56.69,2k,None,None,No,2AZUX-S02,B06XQ5P3VP,https://anran-cctv.com/product/32gb-micro-sd-card-included-security-camera-outdooranran-5mp-ultra-hd-wireless-wifi-surveillance-camera-pan-4x-zoom-with-2-way-audionight-visionhuman-detection-auto-trackingemail-alert,https://fccid.io/2AZUX-S02/User-Manual/User-manual-5247067.pdf,No,No,SSAC-038345-BCAFC,CamHi,com.hichip,7.0.0,08/03/2021,https://apkpure.com/store/apps/details?id=com.hichip,No,No,No,No,Yes,N/A,N/A,N/A,Unknown,Yes,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2016.11,Password,No,Yes,No,Yes,E0:09:BF:67:78:81,Yes,No,No,No,No,Yes,Yes,No,N/A,N/A,N/A,Yes,00:EF:69:E9:A3:C8,No,Hi3516 EV300,ARM Cortex-A7,32-bit ARM,25Q128SIG,SOIC,MT7601U,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Linux,N/A,JFFS2,No,Yes,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Not Found,Unknown,Unknown,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,md5crypt,Yes,No,4.9.37,12/07/2019,No,No,No,N/A,N/A,N/A,N/A,No,No,ipc_server,Partial,Yes,Yes,No,Yes,No,1,RTSP,No,554/TCP,No,No,No,No,No,80,No,Yes,None,No,N/A,No,No,N/A
Security Camera,Amcrest,ASH42,Jan,$50.99,2k,850007530969,Z1080056AC450,No,ZZ2-Z10,B083TLW9JL,https://amcrest.com/amcrest-smarthome-ash42-w-white.html,https://fccid.io/ZZ2-Z10/User-Manual/User-Manual-4585698.pdf,Yes,No,None,Amcrest Smart Home,com.mm.android.amcrestsmarthome,3.9.1,06/02/2021,https://apkpure.com/store/apps/details?id=com.mm.android.amcrestsmarthome,No,No,Yes,No,Yes,"8-32 L,N",No,N/A,Unknown,No,No,N/A,N/A,N/A,N/A,MicroSD,FAT 32,No,Yes,115200,No,N/A,U-Boot,2010.06-svn6637,No,No,No,No,Yes,9C:8E:CD:2F:FF:37,Yes,Yes,No,No,No,Yes,No,No,N/A,N/A,N/A,Yes,9C:8E:CD:2F:F9:5F,No,DH6011,ARM,32-bit ARM,F50L1G41A,NAND,RTL8188FTV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Linux,N/A,SquashFS,No,Yes,No Update Found,No Update Found,Yes,No,Unknown,Unknown,Yes,Unknown,Not Found,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.18.30,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,RTSP,No,554/TCP,Yes,Yes,No,No,No,80,No,Yes,None,No,N/A,No,No,N/A
